label,fwd,long_sharpe_avg,long_sharpe_min,long_sharpe_pos%,long_avg,long_avg_min,spread_sharpe_avg,spread_avg
opt_5,fwd_250d,1.1784178932507834,-1.2460793256759644,86.66666666666667,0.19912259404857954,-0.14557984471321106,0.8307902333637078,0.1163641898582379
opt_6,fwd_5d,0.10685387753571073,-0.1102404072880745,86.66666666666667,0.004393178973987233,-0.003159827785566449,0.05710906411210696,0.0027391295103977122
opt_6,fwd_20d,0.25703314803540706,-0.21405412256717682,80.0,0.0184670589864254,-0.010518355295062065,0.15683654022092622,0.013202933763386682
opt_6,fwd_60d,0.4900648867090543,-0.22312237322330475,86.66666666666667,0.056458313235392174,-0.022383494302630424,0.3732064882914225,0.046461643651127815
opt_6,fwd_120d,0.7733905012408893,-0.3943188488483429,80.0,0.11218230774005254,-0.04568878561258316,0.6278064725299676,0.09172663362696767
opt_6,fwd_250d,1.1511577169100444,-1.009771704673767,86.66666666666667,0.19971772568921248,-0.11386824399232864,0.7898690392573674,0.12856691752870877
opt_7,fwd_5d,0.09288060131172339,-0.10895193368196487,73.33333333333333,0.0038047071973172325,-0.003172727767378092,0.03150323871523142,0.0014999270827199022
opt_7,fwd_20d,0.23967315057913463,-0.17370256781578064,80.0,0.01679604184658577,-0.008338131941854954,0.10913341914614041,0.0092463462613523
opt_7,fwd_60d,0.49573578909039495,-0.17418289184570312,80.0,0.05819756835699082,-0.024123167619109154,0.3376565178235372,0.04368901401758194
opt_7,fwd_120d,0.741341037551562,-0.40471938252449036,80.0,0.11650967933237552,-0.05056694149971008,0.5821233240266641,0.09340226333588361
opt_7,fwd_250d,1.1345014835397402,-0.725307047367096,86.66666666666667,0.20944842211902143,-0.09732965379953384,0.7421311392138402,0.14190299957990646
opt_8,fwd_5d,0.10368822665186599,-0.10991418361663818,80.0,0.004246592381726562,-0.003256086725741625,0.04849262100954851,0.002299465755155931
opt_8,fwd_20d,0.2533435051018993,-0.18991386890411377,80.0,0.01805051395203918,-0.009161940775811672,0.14018250827987988,0.01183663091311852
