fold,oos_start,oos_end,label,fwd,long_sharpe,long_avg,spread_sharpe,spread_avg
1,2010-06-15,2011-06-14,opt_7,fwd_20d,0.5459957122802734,0.03059736266732216,0.21822009980678558,0.009524360299110413
1,2010-06-15,2011-06-14,opt_7,fwd_60d,0.8193137049674988,0.08235128968954086,0.7189249396324158,0.04283278435468674
1,2010-06-15,2011-06-14,opt_7,fwd_120d,0.5955753326416016,0.11796590685844421,1.0082556009292603,0.0785488486289978
1,2010-06-15,2011-06-14,opt_7,fwd_250d,0.6236454248428345,0.10928624123334885,2.3015623092651367,0.1687016785144806
1,2010-06-15,2011-06-14,opt_8,fwd_5d,0.16761507093906403,0.006241672206670046,0.07372413575649261,0.0017894484335556626
1,2010-06-15,2011-06-14,opt_8,fwd_20d,0.5523533225059509,0.03151703625917435,0.3126431107521057,0.012990323826670647
1,2010-06-15,2011-06-14,opt_8,fwd_60d,0.8088120818138123,0.08272632211446762,0.8208016157150269,0.04849198833107948
1,2010-06-15,2011-06-14,opt_8,fwd_120d,0.5954087376594543,0.11966810375452042,1.0575029850006104,0.08819221705198288
1,2010-06-15,2011-06-14,opt_8,fwd_250d,0.5785552859306335,0.10564742237329483,1.951920509338379,0.17458973824977875
1,2010-06-15,2011-06-14,opt_9,fwd_5d,0.13514988124370575,0.005307025276124477,0.09129827469587326,0.002262867521494627
1,2010-06-15,2011-06-14,opt_9,fwd_20d,0.5144892930984497,0.030731333419680595,0.402508020401001,0.015735119581222534
1,2010-06-15,2011-06-14,opt_9,fwd_60d,0.8345209956169128,0.08626960217952728,0.9897581338882446,0.060088153928518295
1,2010-06-15,2011-06-14,opt_9,fwd_120d,0.6335259079933167,0.1312088519334793,1.3194633722305298,0.11754760146141052
1,2010-06-15,2011-06-14,opt_9,fwd_250d,0.6207645535469055,0.10812751203775406,2.3567044734954834,0.193441703915596
1,2010-06-15,2011-06-14,opt_10,fwd_5d,0.16519726812839508,0.006100971717387438,0.08079825341701508,0.0019510198617354035
1,2010-06-15,2011-06-14,opt_10,fwd_20d,0.5511588454246521,0.031008899211883545,0.3216436207294464,0.013246394693851471
1,2010-06-15,2011-06-14,opt_10,fwd_60d,0.8134564161300659,0.08267161250114441,0.8338803648948669,0.048312656581401825
1,2010-06-15,2011-06-14,opt_10,fwd_120d,0.5903756022453308,0.11871857196092606,1.0862728357315063,0.08510125428438187
